	UMAP1	UMAP2
k141_4751	2.734869	5.117508
k141_667	-1.1291354	4.140334
k141_12852	-2.0242357	3.8990993
k141_16553	4.80235	16.723999
k141_12853	6.836058	-4.3328733
k141_668	8.817078	8.31311
k141_16554	8.1158905	5.5427103
k141_669	5.965957	14.668758
k141_8894	1.3561262	5.2865114
k141_670	4.7047653	3.0142288
k141_28915	5.307665	16.748934
k141_8895	6.9253244	2.2641325
k141_16555	7.6872997	2.390038
k141_671	-0.52820814	4.8214984
k141_12856	8.949978	1.4248157
k141_4752	8.705489	7.06437
k141_672	0.6149064	4.954222
k141_4753	3.0180728	4.7435317
k141_675	7.991393	8.40768
k141_4754	5.9794393	15.302619
k141_12859	6.337955	-6.0167627
k141_16557	9.259084	5.3506546
k141_676	4.8393483	16.92196
k141_24962	8.848255	1.5071579
k141_4758	2.5374904	5.1753917
k141_12861	4.8300204	3.3236773
k141_8897	5.226245	17.127687
k141_16558	1.0068638	4.9101286
k141_12862	5.2655663	4.217133
k141_8898	6.401111	6.7597847
k141_679	6.1853776	-5.419456
k141_16559	6.9333715	1.6850555
k141_682	6.4079404	14.357092
k141_4759	5.1216245	17.121634
k141_684	0.613088	5.566675
k141_8903	5.9878864	5.793285
k141_16560	7.748729	6.0192914
k141_4760	7.854355	2.1640904
k141_689	5.874639	-5.1286154
k141_4762	7.3549447	6.1949344
k141_16562	5.9203706	-6.7924886
k141_4763	4.8131847	16.474152
k141_12873	7.4458647	6.794449
k141_24964	5.1521487	17.001755
k141_8907	7.4107146	5.844086
k141_12875	6.779994	5.353539
k141_698	4.6971416	3.7188902
k141_12879	4.5769124	4.670336
k141_4767	8.223728	6.4190774
k141_16568	8.349034	6.495512
k141_4771	4.6246567	3.043172
k141_704	7.1939764	2.7968874
k141_12886	7.686416	8.215053
k141_705	-1.5049862	4.1818905
k141_16571	-1.9645535	3.9433486
k141_4776	2.2021797	4.395954
k141_4777	6.060446	13.969032
k141_706	6.6520123	2.0790648
k141_16572	4.221798	3.2519495
k141_16573	0.77514416	5.2063994
k141_24971	6.2448406	4.160689
k141_12887	8.841417	1.498287
k141_4779	3.487839	4.2888193
k141_20565	4.9464326	2.629171
k141_16576	7.7447453	8.391829
k141_20566	5.9349356	6.103522
k141_12888	4.6299486	3.5500605
k141_715	4.2329392	4.7456093
k141_4782	-0.78340906	4.927802
k141_20567	1.6913589	4.71333
k141_16578	8.064282	8.413066
k141_716	4.9275985	16.552193
k141_4785	7.366679	7.923659
k141_8913	9.066853	5.264416
k141_24977	3.8213289	4.7633014
k141_16581	-1.7552412	4.3168325
k141_722	2.6137474	4.7864842
k141_12897	8.628498	5.7593985
k141_20574	6.7875795	5.9301996
k141_24979	5.711526	6.077865
k141_723	-1.6314809	4.130529
k141_24980	6.941011	1.6242439
k141_8920	4.8965907	4.90578
k141_12899	9.366961	5.3334227
k141_4792	6.8676896	3.602702
k141_16588	4.6125107	16.94724
k141_20581	6.906966	6.0027885
k141_8921	5.197688	4.41308
k141_24982	-1.8938638	3.8750718
k141_12900	1.0734407	4.846072
k141_727	7.2659373	5.495706
k141_8924	6.839497	6.1140447
k141_16589	8.554282	1.543249
k141_4797	1.4871131	5.12636
k141_12901	6.256076	5.144174
k141_728	-0.1054615	4.7309904
k141_8928	-1.2639693	4.297146
k141_731	4.460979	4.8650336
k141_20592	0.9441179	5.6306486
k141_12902	4.508301	17.363174
k141_24991	6.3129582	14.793211
k141_8930	0.66183037	5.426203
k141_24992	6.547771	14.947948
k141_12903	4.2708397	3.9120162
k141_4805	7.9207783	5.5469484
k141_8932	7.6532927	1.2367715
k141_12904	4.192398	4.170092
k141_24994	6.3837113	4.313999
k141_4808	2.0759964	4.35421
k141_24995	2.1449401	4.0115714
k141_8935	2.464813	4.186862
k141_12909	7.915145	8.474715
k141_24996	4.5539145	5.0934353
k141_16591	8.848016	1.5309098
k141_733	5.2333117	17.249952
k141_20603	6.296993	2.720612
k141_12910	5.6109147	16.055456
k141_8936	4.7545686	17.34323
k141_20604	7.384755	6.3273673
k141_12911	7.7263446	8.081847
k141_16592	4.6051583	17.236729
k141_738	5.6573496	4.4095244
k141_20606	2.5123692	3.6773877
k141_8939	0.8397825	5.267323
k141_16595	7.0938277	2.0648117
k141_12912	6.7497993	6.1700444
k141_25005	3.9383662	4.126505
k141_4814	5.3491254	16.739944
k141_25007	6.744172	-4.3789296
k141_16601	4.7984333	16.406473
k141_4817	8.934502	1.3252548
k141_8942	6.2421026	2.8764873
k141_16605	0.53215533	5.561415
k141_12915	4.7958183	3.242908
k141_25013	6.200541	3.5767162
k141_8943	5.8913965	14.437192
k141_8945	2.9246175	5.0685205
k141_16609	4.937904	4.1489987
k141_25016	1.505136	5.0825295
k141_4822	8.054136	5.5339165
k141_8948	6.456015	14.295984
k141_20612	9.36479	8.108219
k141_25018	8.675	8.234484
k141_4827	4.055542	4.888953
k141_16610	3.567512	4.146661
k141_12918	7.9780283	2.0431316
k141_25019	6.222426	2.8380277
k141_25020	6.1306024	14.49239
k141_20616	5.251808	14.90158
k141_12920	7.96259	7.826039
k141_8949	8.47057	1.8105193
k141_4830	1.5751536	4.4325514
k141_25021	4.09926	3.9784424
k141_16613	5.827742	2.39393
k141_8950	5.8869233	2.7671058
k141_16614	4.756173	3.9920928
k141_12923	11.244259	2.8709004
k141_16615	4.6037316	4.9536633
k141_4835	1.560604	4.1790357
k141_25025	4.381697	4.743572
k141_12924	5.9663696	-5.3969226
k141_4836	7.3621545	-5.790458
k141_8951	5.438242	3.298904
k141_25027	6.071501	13.98181
k141_4837	-2.0329	4.01421
k141_8953	7.667098	1.9422784
k141_12926	6.4685993	4.585919
k141_25028	8.090918	1.737763
k141_8954	8.346288	7.3373146
k141_4846	5.213854	5.93155
k141_8955	3.9546545	3.9294572
k141_25030	8.585419	7.1417375
k141_4848	8.117993	7.132582
k141_16622	3.6712122	4.202159
k141_25032	4.6874723	4.3940334
k141_744	7.991112	14.9745
k141_4852	5.6706457	-4.4735584
k141_28916	8.488005	5.985935
k141_745	7.9689255	7.4941435
k141_8963	3.3771765	4.0178957
k141_16625	8.760814	1.1151516
k141_25033	6.0255933	15.014189
k141_746	7.795873	1.1586326
k141_28918	1.6776909	4.6636305
k141_8964	7.6443443	7.560938
k141_4854	4.946102	3.3170774
k141_25034	8.162573	1.8189986
k141_747	8.608273	5.4917545
k141_16629	2.3836942	4.646084
k141_4856	3.077349	3.285357
k141_16630	6.183475	6.588511
k141_28922	0.88942826	4.8204603
k141_8967	1.6708539	5.131277
k141_751	5.3218455	4.2824674
k141_8968	4.553418	16.742348
k141_752	1.0461512	4.9646025
k141_4862	6.78124	5.051554
k141_8971	7.2158017	-5.697561
k141_16632	5.7709475	-6.1484933
k141_8972	4.4376554	17.035837
k141_12941	2.2543812	5.489318
k141_4864	1.7010906	4.7128615
k141_4865	6.124242	14.586088
k141_28923	5.581224	5.344076
k141_25035	8.532076	6.5435348
k141_755	5.282058	4.9409423
k141_16635	6.6507926	6.8243165
k141_8975	7.880717	8.344116
k141_4866	3.1665475	4.1914425
k141_16636	2.5136898	3.584359
k141_12948	3.9469569	4.0529075
k141_28926	3.5228732	4.28895
k141_28928	5.4804735	15.8924675
k141_757	6.417448	4.435856
k141_4867	5.44056	16.714588
k141_12953	4.1638055	4.0930924
k141_4872	1.0300944	4.849661
k141_764	2.5412314	4.952643
k141_16641	6.8593154	2.978352
k141_4874	4.3010216	3.5716875
k141_20619	8.135832	15.0451355
k141_4877	4.6637964	16.766855
k141_20620	7.769501	8.364413
k141_766	8.8856125	1.3818716
k141_12964	0.9616232	4.8448253
k141_20621	3.1396484	4.2513494
k141_25037	8.031174	14.981866
k141_768	4.719147	16.687147
k141_25038	-1.5826504	4.355045
k141_12965	5.3848805	2.811368
k141_16649	-0.5593728	4.034322
k141_769	6.7016454	2.461818
k141_28930	5.2505527	17.25886
k141_20625	11.280325	2.847119
k141_12967	7.4446545	7.5076632
k141_16652	0.7073289	5.538974
k141_12968	6.1558957	14.17676
k141_4879	7.394413	5.2435784
k141_28935	1.9464308	5.0409527
k141_20630	-1.8534871	4.0171785
k141_12969	4.198058	5.264788
k141_4882	6.223982	5.3787103
k141_28936	3.979163	3.730937
k141_4884	6.5210586	14.927419
k141_28937	0.27017587	6.196599
k141_16655	5.061157	5.0600863
k141_20632	-1.511605	3.8863344
k141_28938	0.32492217	5.418653
k141_12972	4.644569	2.6907287
k141_782	6.784579	1.8626173
k141_28941	7.606963	2.0489118
k141_12975	6.2472634	5.84143
k141_25042	5.36459	17.156324
k141_28944	6.681756	2.7950616
k141_786	8.05418	6.2808194
k141_25043	4.7258787	16.775856
k141_787	7.5488296	7.8477077
k141_12980	4.2804213	5.2017007
k141_4885	7.4614806	5.6323028
k141_791	6.973262	2.2393327
k141_28945	7.029848	5.8610144
k141_25045	5.6915436	5.3525786
k141_12987	4.4974685	16.804699
k141_796	3.3841345	4.507404
k141_4888	7.3901296	1.306501
k141_16656	5.785315	-5.7738667
k141_20634	6.8460546	5.582113
k141_25048	6.48003	14.719704
k141_4889	6.5291924	6.5090585
k141_4890	-1.0999899	4.1907134
k141_20635	5.854289	-5.158958
k141_12989	5.8055773	-4.8194866
k141_25049	7.1390333	-5.5647187
k141_4891	8.007676	1.9375662
k141_799	6.1104584	4.978176
k141_12990	5.206218	15.086339
k141_20637	1.6040218	5.154768
k141_25051	4.987325	4.4601746
k141_800	1.3009361	5.0430217
k141_12991	7.823506	6.045953
k141_8976	8.807656	5.206984
k141_4896	2.7527924	5.080019
k141_20639	1.6772913	4.3489923
k141_25055	2.9810095	5.041588
k141_12993	5.272935	16.352167
k141_16666	8.595658	7.5500317
k141_8982	2.458409	4.4330916
k141_28946	8.932109	5.296277
k141_12998	-1.674273	4.2441864
k141_28948	0.57175803	5.462596
k141_16668	7.5543866	1.5880352
k141_803	2.4915748	4.65109
k141_20640	5.7445917	-5.2058525
k141_25058	3.8211806	5.6533694
k141_4903	8.563816	1.6305895
k141_28950	7.7842445	0.9860627
k141_16669	2.7338889	4.7183714
k141_20642	2.1752481	4.894653
k141_13005	4.291796	17.340124
k141_25062	4.0900784	4.0643735
k141_20644	5.7415385	5.5679283
k141_28956	-0.25695577	4.8388367
k141_25063	5.369691	4.309027
k141_8983	9.014725	7.541912
k141_16674	8.249228	5.6641445
k141_25065	0.2012335	4.9305105
k141_16675	4.264775	4.292332
k141_8986	3.720228	3.5583103
k141_28964	5.429926	5.4495463
k141_20649	8.274878	8.258217
k141_8987	1.0912895	5.280428
k141_28966	6.2086782	-5.184541
k141_28968	2.7515802	3.645118
k141_25073	6.341746	5.241546
k141_25074	5.041947	16.37079
k141_28972	5.481155	3.4322855
k141_8994	2.7214122	5.025239
k141_16677	8.728814	5.2945595
k141_28978	4.563487	4.222143
k141_20658	9.319388	8.062796
k141_28982	3.284322	4.72855
k141_16682	8.584393	1.4253606
k141_16683	6.8168116	2.5555573
k141_8996	8.822599	5.179998
k141_13009	3.165441	5.476581
k141_25075	8.642769	5.4485383
k141_28983	8.374404	1.5163856
k141_20666	8.095391	0.98004967
k141_16687	5.6444893	5.4047885
k141_13010	7.022044	2.3355544
k141_20667	-1.6459835	4.022033
k141_28984	-1.386712	4.3006806
k141_25080	2.810642	3.7538505
k141_16688	-1.836177	3.9273815
k141_28985	3.7113137	3.8844798
k141_9005	6.40463	2.33799
k141_20668	8.56012	5.43141
k141_28989	4.6498456	5.2758965
k141_9007	0.7154746	5.1268263
k141_25082	6.7879725	-6.4793663
k141_13011	8.976496	7.353846
k141_9010	4.8247147	4.117518
k141_25084	7.451281	6.5139875
k141_28996	0.64255124	4.8089
k141_20676	4.633738	17.249344
k141_4909	8.055824	14.996671
k141_28997	5.1164722	16.319592
k141_28998	4.214715	4.5097213
k141_20679	0.47044188	5.7754993
k141_4910	2.3809347	5.250414
k141_16690	9.3396845	5.4004064
k141_29000	5.461274	2.9478812
k141_4911	5.8667564	6.2703514
k141_13023	7.8982415	1.5043519
k141_13026	3.1924214	4.565015
k141_29004	5.038673	17.186491
k141_25093	8.773573	7.22235
k141_13028	4.2639027	17.295101
k141_9015	5.674595	-6.523101
k141_25095	-0.86817443	4.4150047
k141_29005	8.178662	1.9383943
k141_13029	5.939231	14.683079
k141_4922	8.13491	7.5334597
k141_20683	5.826441	-6.4442673
k141_9017	7.7563562	2.156553
k141_29006	8.436537	1.3641241
k141_25102	5.597701	5.6848817
k141_810	8.501005	5.9939275
k141_29008	7.448471	-5.913725
k141_4924	7.1572213	3.8675792
k141_29009	4.331826	17.091928
k141_25103	5.3794594	5.221307
k141_9024	1.1319941	5.0465302
k141_20687	7.887813	5.396673
k141_4926	5.1160955	2.9267247
k141_29013	7.951513	1.3640561
k141_13042	4.8958454	5.765962
k141_20688	5.2243805	4.4749985
k141_814	7.8033676	5.2668743
k141_29014	1.8735261	4.3073454
k141_25107	8.851962	1.3331447
k141_20690	6.837953	4.9351053
k141_815	4.3670826	17.26911
k141_29016	7.522239	1.9251752
k141_13048	5.8408275	5.156068
k141_29017	7.7744656	7.5218525
k141_4927	2.5210931	5.352808
k141_25111	3.4924934	4.1063967
k141_819	5.6361437	4.8834496
k141_13049	8.5566635	5.946705
k141_16691	9.287866	5.3082724
k141_29019	7.0472307	2.3842297
k141_4930	2.2457514	3.861994
k141_823	3.7950861	4.922544
k141_29022	7.817233	1.760838
k141_16693	1.8300936	4.243189
k141_13051	3.8676317	3.556086
k141_29024	7.3992224	7.4462533
k141_4934	7.5630236	7.6265936
k141_16694	6.1171184	6.352592
k141_13053	6.8918443	3.0412984
k141_25119	3.626404	3.631122
k141_13054	0.9327724	5.078632
k141_4942	4.504147	4.474826
k141_29033	6.4160285	5.157549
k141_16701	3.5948553	3.5114627
k141_20697	9.244133	5.444309
k141_13057	-0.8287214	4.766021
k141_29036	4.8744683	3.9001508
k141_13058	4.3360076	3.5478704
k141_20700	5.924901	2.7181156
k141_9029	8.251097	15.120767
k141_4943	9.028415	7.8323245
k141_4944	6.060856	14.539659
k141_13059	7.8868446	7.408304
k141_16709	8.594661	8.174622
k141_29042	7.617594	1.7888635
k141_9030	8.317206	1.1285925
k141_20706	5.898701	3.7214963
k141_16710	6.790845	6.315785
k141_824	7.990924	14.9746275
k141_9031	8.022141	1.4159863
k141_13063	7.509563	7.3449855
k141_13064	5.6593304	4.8025527
k141_20708	-1.0839047	4.4329844
k141_9032	7.0159254	1.9430182
k141_29045	5.1155863	17.068817
k141_825	5.1648726	2.8356984
k141_20709	0.63115233	5.131662
k141_16717	4.9849243	5.681186
k141_4959	11.293651	2.8270576
k141_29048	3.251839	4.6297865
k141_20710	-0.702807	4.6328516
k141_9035	-1.677618	4.103422
k141_826	5.552914	2.983017
k141_4961	8.124026	7.323543
k141_9036	3.7636697	4.065617
k141_25121	5.9228916	-7.093337
k141_4963	7.075565	6.914036
k141_828	-1.1631886	4.1173177
k141_25123	-1.8413622	4.0316987
k141_9038	1.7375902	4.5488086
k141_4966	5.788035	2.7370563
k141_9042	7.253329	-5.814037
k141_4967	3.900703	3.6058497
k141_25125	5.284706	16.52469
k141_16722	8.199391	1.6555407
k141_830	8.663921	7.1086473
k141_4968	7.266171	5.8599157
k141_29064	6.337951	14.191788
k141_9045	3.2128646	3.5212479
k141_4970	-1.792231	4.136573
k141_833	0.86345494	5.5480275
k141_13069	9.272371	5.3913946
k141_16725	-1.0346484	4.624578
k141_9047	4.4874635	3.1971269
k141_29065	5.765323	-6.3583956
k141_16726	2.7741342	3.5742269
k141_25126	4.443302	5.4013453
k141_4977	5.720013	6.110858
k141_29066	4.772872	16.788631
k141_16727	6.1227536	2.7536058
k141_13077	4.914513	5.6581135
k141_29069	4.258341	3.6032534
k141_29070	7.257284	2.3122828
k141_25132	5.144392	5.72895
k141_4984	6.562651	6.843547
k141_16731	7.672382	7.12599
k141_13080	8.022234	7.6140103
k141_837	9.41046	8.133392
k141_839	1.1229948	5.1028376
k141_29074	6.9798803	4.0528035
k141_4985	7.6470428	5.503682
k141_841	4.962796	3.995902
k141_29075	2.084222	4.100212
k141_9048	5.80581	-5.179848
k141_25133	6.6491284	6.532156
k141_843	4.6093965	5.4523573
k141_29077	4.3902225	4.309406
k141_13083	2.313865	5.235678
k141_9050	0.30310598	6.073467
k141_25134	3.2731001	4.888933
k141_25135	4.5489616	16.892042
k141_13086	6.4970164	4.564593
k141_16738	4.8141184	17.052292
k141_29079	-1.4634563	4.1521482
k141_25137	4.539231	5.7742863
k141_29081	1.1126275	5.169595
k141_13088	-0.8481709	4.426787
k141_9052	8.144918	1.1207238
k141_16740	4.7761173	4.136507
k141_9054	-1.6270579	3.9193554
k141_13092	7.897299	1.3865813
k141_25140	5.9833846	-6.408689
k141_13093	4.792459	4.893793
k141_29089	5.886994	-5.2509193
k141_9059	5.105607	4.667386
k141_16743	-1.955769	4.3164053
k141_25145	7.383542	7.8497148
k141_9060	6.0249	5.748173
k141_13095	7.5190206	1.9887253
k141_16745	-0.53872055	4.538985
k141_29090	9.370167	5.461199
k141_16746	3.1593053	3.9324057
k141_9062	2.5039265	5.20387
k141_13097	8.250845	5.801596
k141_29093	7.0712113	6.604809
k141_9065	8.119531	5.7476563
k141_25152	5.655277	4.9912896
k141_29098	2.9990652	3.513328
k141_845	7.9333706	14.959328
k141_9068	-0.35776627	4.2320385
k141_25153	3.3694408	4.5049353
k141_16753	7.4309216	2.2545538
k141_4986	5.94331	-6.996044
k141_13102	0.1574693	6.146338
k141_9069	-1.8498082	4.1820207
k141_846	7.832034	8.313012
k141_25155	4.533115	16.833406
k141_9070	4.1191916	4.9861126
k141_29101	8.565061	5.568884
k141_4990	7.3683486	-5.8645015
k141_13104	4.129771	4.711265
k141_13106	6.187193	14.389868
k141_847	6.6150713	3.4563663
k141_25164	1.6761712	4.7357388
k141_848	4.351337	17.123484
k141_4994	6.9412885	6.6294246
k141_13111	-0.6755173	4.285786
k141_849	2.9297855	4.403143
k141_4996	2.6822643	4.514366
k141_9078	5.804082	-6.5448756
k141_29113	7.8518114	5.4526043
k141_13115	0.11806155	6.4758067
k141_5001	5.38833	16.411598
k141_9084	5.8787427	6.0260386
k141_853	7.757258	5.31071
k141_29115	-1.912913	4.43594
k141_5003	0.8285868	4.710575
k141_25180	2.1254752	4.3137507
k141_13121	1.286638	4.967596
k141_29118	0.15510397	6.1524754
k141_857	2.349892	4.3038616
k141_13122	5.4412565	4.709126
k141_9090	2.7015307	5.0805774
k141_29122	-0.47341108	4.198572
k141_858	2.3405669	4.9658694
k141_29124	-1.806606	4.0915985
k141_9091	4.702465	3.6626163
k141_29125	6.3723	14.378054
k141_25181	5.798993	-6.5949163
k141_860	1.0592147	5.0951595
k141_25182	4.399358	3.7664788
k141_861	5.336474	4.885261
k141_863	5.9410734	2.5007854
k141_9094	5.9468517	3.470189
k141_5007	5.325895	3.91142
k141_29132	7.840634	1.2642596
k141_864	6.046279	3.9718044
k141_9096	4.034171	4.3512807
k141_5008	4.676572	16.630655
k141_25191	1.5257419	5.089809
k141_5009	-1.6273319	4.2166476
k141_29136	7.496488	0.84955645
k141_865	6.665255	4.7075605
k141_9101	4.869458	4.544191
k141_25193	5.6475744	-4.490553
k141_29138	7.6428	1.3246639
k141_25195	5.0993605	4.965428
k141_29139	5.7475996	4.7110963
k141_16754	8.845263	5.1778517
k141_13124	8.216035	5.233439
k141_867	0.30636072	5.964833
k141_5012	7.8514647	5.957067
k141_9106	5.3699203	15.4312935
k141_25197	0.10045121	4.6426883
k141_29141	-1.7051421	4.1195602
k141_5013	7.189467	2.1338081
k141_25199	1.0423512	4.7180758
k141_5014	6.4286656	5.590679
k141_9111	4.4947524	4.7398715
k141_869	4.8069696	4.7254267
k141_25200	6.8858747	2.4947217
k141_29146	6.643432	4.9552183
k141_16760	0.3838137	5.8414
k141_9113	7.1997714	-5.7782707
k141_29147	1.4734979	5.136495
k141_873	-1.3287033	4.54225
k141_29148	4.815558	3.8865345
k141_13126	8.538347	5.425293
k141_5023	5.977541	6.169119
k141_874	7.429881	7.0008516
k141_16762	8.627346	5.7667174
k141_13127	4.703717	16.77728
k141_25206	7.6108537	1.4883587
k141_29151	5.3686643	4.765249
k141_16763	8.786284	5.5199933
k141_25207	4.0295677	5.2128863
k141_876	-0.4094688	4.7171755
k141_29152	4.6232104	2.8384914
k141_25208	2.7281506	4.2698317
k141_29153	1.4656098	4.764635
k141_878	6.8724732	2.3485346
k141_29155	6.823605	1.924517
k141_16767	1.0268803	5.122444
k141_29159	6.6809425	2.442111
k141_5029	2.6222026	5.109885
k141_5030	2.6647944	4.5639567
k141_29160	3.441245	3.682228
k141_13131	7.7946916	6.0520988
k141_9115	7.8998494	5.87701
k141_5035	3.255319	3.7587588
k141_13134	8.203127	1.598257
k141_25212	9.235561	5.4619756
k141_29165	4.0892644	3.3091326
k141_5036	7.9402328	7.142063
k141_9117	7.266661	2.5070693
k141_29167	6.439466	6.756401
k141_29168	2.618141	4.3610616
k141_25215	7.1140175	3.8902183
k141_5042	0.82366836	5.0009274
k141_29174	2.8221617	4.856542
k141_16771	8.115988	6.093491
k141_29175	7.700849	8.287206
k141_879	8.015406	5.86089
k141_25221	7.5387335	8.136319
k141_29176	2.7233324	4.046051
k141_13138	5.092939	16.913786
k141_5046	4.357681	17.09584
k141_29177	7.7321362	7.9149003
k141_9128	5.4539227	5.3372183
k141_29180	7.65364	1.485216
k141_13140	2.6957498	3.879673
k141_880	7.5752754	2.0177593
k141_16774	8.438085	1.3276483
k141_5050	6.5446234	6.4804387
k141_25223	8.497827	5.4415207
k141_29182	5.9371295	6.09977
k141_881	5.8406134	5.474891
k141_9132	4.4948707	16.932137
k141_882	0.50927246	5.186153
k141_29186	6.590354	1.7051924
k141_13143	8.012453	2.1575568
k141_29187	-0.70068467	4.6344895
k141_25227	-1.6650041	4.5887585
k141_888	4.493708	4.2266736
k141_29188	7.399661	7.1989884
k141_13146	7.183575	-6.068348
k141_16783	2.3269835	4.529667
k141_13147	-0.88421726	4.684837
k141_5062	4.780448	5.3202763
k141_16785	-0.63259596	4.2042294
k141_29194	8.277739	1.2829566
k141_13150	7.224212	-6.1093216
k141_25234	0.6667791	5.4806213
k141_891	6.7473083	1.9913907
k141_5066	3.934668	4.4369383
k141_16787	7.5139756	6.278516
k141_13151	3.8557734	4.772106
k141_13152	0.3659159	4.9475503
k141_16788	5.276349	4.0289598
k141_896	3.4104595	3.5667856
k141_25239	7.5418057	7.4837055
k141_29200	4.7459536	3.41531
k141_29204	7.1888967	1.2332973
k141_898	-1.9107288	4.404336
k141_25243	6.7633753	2.267681
k141_5068	5.8752856	-5.209682
k141_16790	7.878466	2.300693
k141_29206	6.1235843	6.4714293
k141_5069	7.491179	1.7854337
k141_902	6.4445996	14.567044
k141_16792	5.5537357	4.7232537
k141_5072	5.6812663	4.1173997
k141_9142	9.142842	5.2767267
k141_5073	5.9042454	14.950624
k141_9144	4.6642547	4.4383802
k141_25254	6.671105	2.370612
k141_908	-1.9331428	4.411189
k141_5076	7.7933574	1.1363305
k141_16796	1.2270383	5.427242
k141_25255	7.450204	-5.8670735
k141_909	4.7786303	4.5171933
k141_16797	0.6057524	5.5545115
k141_29210	8.800869	5.3091717
k141_5079	9.060808	8.182832
k141_29211	-0.8655981	4.343211
k141_911	7.979527	2.2501652
k141_912	3.8510425	4.9334116
k141_9151	5.888932	5.1400895
k141_5082	-0.46049374	4.4510307
k141_25262	7.963973	7.619125
k141_16799	4.662708	2.6220202
k141_29215	6.51537	5.761632
k141_5084	7.712604	7.730267
k141_5086	3.706563	5.0987015
k141_915	5.283173	4.7381005
k141_25263	8.186108	1.6395357
k141_16803	5.22266	3.4191494
k141_9153	7.462605	-6.025997
k141_916	-1.9741989	3.9192395
k141_16804	0.7277159	5.341778
k141_25268	2.15943	4.4416575
k141_9155	5.528806	16.085228
k141_5088	6.9414186	5.639477
k141_29226	7.3836126	7.6953077
k141_918	4.3203397	4.572487
k141_5089	8.461294	1.2149686
k141_16808	6.8357463	5.0495424
k141_5090	6.5122247	14.898527
k141_29228	-2.1256466	3.822578
k141_9158	4.0541377	4.543961
k141_13153	8.192321	15.066846
k141_923	7.0027623	6.76763
k141_9160	0.67863953	5.645069
k141_5092	4.595566	17.087841
k141_16814	5.513238	3.6082075
k141_25270	8.345211	6.407282
k141_16816	7.4488583	0.9715482
k141_9163	8.633276	1.4965581
k141_5094	5.9845076	3.27896
k141_25271	3.2352116	3.6541626
k141_29229	6.984079	5.721184
k141_13162	8.306976	1.2641424
k141_5095	5.329618	16.324804
k141_930	9.131854	8.020652
k141_16819	1.5365888	4.9824805
k141_5096	8.120683	2.0754485
k141_29231	6.6489134	6.8568444
k141_932	1.7142713	5.2058287
k141_29232	7.0832977	5.8532195
k141_16822	-1.6214994	4.1567073
k141_9169	7.310938	6.011803
k141_13163	-1.8724927	4.3726854
k141_25278	1.0484469	4.6235547
k141_933	-1.9038866	4.313929
k141_29236	4.4369845	5.3653727
k141_25279	6.475583	6.7241096
k141_5106	-0.91783315	4.5350018
k141_16824	8.441199	1.6974301
k141_9176	2.4735167	4.5240693
k141_25281	7.546182	1.4537932
k141_29240	6.8074474	1.4970798
k141_9179	6.190501	5.3418317
k141_939	5.1768274	4.870105
k141_9180	3.1025207	3.8425226
k141_29241	-1.7719495	4.4099073
k141_942	3.8553185	3.577382
k141_29242	4.267872	4.6151896
k141_16826	2.258957	5.346998
k141_16827	4.840514	16.37041
k141_25286	8.163547	6.3472533
k141_9187	7.305739	2.655032
k141_16829	8.225579	1.7026961
k141_9188	6.89144	1.4967035
k141_5112	8.049589	6.2110744
k141_25289	6.9829764	4.5090785
k141_25290	2.8148541	4.948366
k141_9190	6.0639424	13.954441
k141_946	6.5863705	5.502124
k141_16835	7.3460126	7.8544106
k141_9191	5.3598676	3.397058
k141_947	3.1422937	4.4171014
k141_16836	7.9154286	7.932302
k141_29246	5.2360816	17.269953
k141_950	7.8357143	0.9497323
k141_29247	7.4312778	1.8335334
k141_5114	9.355318	8.213078
k141_16838	-1.3137963	4.1278276
k141_9193	8.028362	1.171688
k141_29251	6.5695453	4.480023
k141_953	2.7437928	4.1050043
k141_9194	6.6282425	6.163723
k141_16842	7.1660266	1.8960396
k141_29252	2.0701826	4.5066686
k141_25292	5.6840267	-6.2019825
k141_9197	7.9058266	8.376773
k141_29254	5.3741446	4.3211446
k141_25293	-0.36669552	4.9915338
k141_9198	6.2215414	3.6455383
k141_29256	8.414729	1.3454789
k141_16849	-1.5666362	4.1857023
k141_25295	3.8167388	4.9996085
k141_9199	5.366006	14.938862
k141_25299	4.3998003	17.06903
k141_29260	8.998032	7.821458
k141_9202	5.259247	4.6938624
k141_959	5.9400773	-6.9861627
k141_25300	6.670857	5.2087727
k141_962	8.577669	8.331365
k141_29263	8.806573	7.7727885
k141_16853	5.1087127	17.052078
k141_25302	3.893559	4.702289
k141_963	1.9955027	5.068723
k141_25304	6.3207607	14.401392
k141_965	5.878361	3.4063134
k141_29265	5.7257085	-6.2972836
k141_9203	8.265269	6.295528
k141_25305	6.440519	2.9538677
k141_5116	8.141178	15.100395
k141_966	1.9581008	4.635766
k141_25306	7.3316345	6.967673
k141_16860	6.046361	5.3668895
k141_29270	5.9078894	-5.951048
k141_9205	7.858044	2.2817216
k141_25308	6.375443	14.939591
k141_5118	6.7318773	-6.3768296
k141_5119	6.016958	2.2276084
k141_967	3.061351	3.9791658
k141_9208	0.98220897	5.235786
k141_29276	7.149016	3.8818316
k141_968	5.5388637	5.169974
k141_25314	5.619851	5.9175925
k141_16867	4.935497	4.8963103
k141_9211	6.174588	3.09648
k141_5126	0.740337	4.9612556
k141_9214	4.5611315	4.188537
k141_971	5.0832324	16.480398
k141_29279	3.5478373	5.3364525
k141_5129	5.21267	4.440045
