ID	length	GC	coverage
k141_6237	1177	42.57	6.06202
k141_6238	2792	59.78	6.4563
k141_6239	1024	44.14	5.0957
k141_6241	4552	51.87	5.82337
k141_6245	1667	60.83	5.90642
k141_6251	1357	56.15	5.82977
k141_6252	2468	59.04	5.74109
k141_6254	15217	40.95	8.0207
k141_6255	2080	53.61	4.65096
k141_6260	1034	42.46	5.59284
k141_6261	1670	62.10	4.18743
k141_6265	1216	47.12	4.67188
k141_6266	1206	49.25	3.83831
k141_6267	1889	46.21	3.94812
k141_6270	1004	52.39	2.94721
k141_6273	1626	50.43	5.84932
k141_6276	1570	57.32	5.3121
k141_6277	1380	53.19	3.13116
k141_6278	2902	34.60	4.4297
k141_6279	1794	64.49	5.12821
k141_6284	1093	53.06	4.63312
k141_6287	1020	61.18	3.50882
k141_6290	4820	50.41	5.23631
k141_6291	1170	54.19	6.36325
k141_6293	1083	60.39	4.53924
k141_6295	1067	58.39	4.1865
k141_6297	1998	53.30	3.61862
k141_6298	5991	62.41	6.15106
k141_6303	2572	38.45	4.46462
k141_6304	2276	46.62	5.23946
k141_6307	1469	45.00	9.86794
k141_6309	1607	57.19	3.59116
k141_6312	2603	62.93	7.27776
k141_6313	1085	38.34	4.13272
k141_6319	2322	40.53	6.82472
k141_6320	2056	59.58	6.13375
k141_6322	1176	53.49	3.66922
k141_6323	1155	49.44	4.25195
k141_6327	1027	37.59	4.78286
k141_6328	2627	63.46	5.03274
k141_6341	6045	61.04	5.47477
k141_6343	1731	52.22	7.57886
k141_6345	2397	56.49	6.00793
k141_6356	2291	62.42	3.85334
k141_6358	2325	54.62	5.97548
k141_6360	2538	44.05	4.77423
k141_6362	1567	51.50	3.34525
k141_6363	7038	50.31	7.33831
k141_6365	1026	44.54	9.94055
k141_6368	1123	63.31	2.79163
k141_6371	1440	55.56	4.98125
k141_6373	1706	38.57	5.8558
k141_6374	1544	53.11	7.9864
k141_6375	1807	49.36	12.6076
k141_6377	1008	47.82	4.2996
k141_6383	2048	61.77	9.0542
k141_6385	3776	56.09	7.9285
k141_6388	2664	51.28	4.92005
k141_6391	2113	46.24	6.49361
k141_6394	1196	64.21	5.10452
k141_6395	1081	70.12	2.76503
k141_6397	1192	50.50	4.73406
k141_6398	2437	43.25	6.17275
k141_6399	1194	60.80	4.32245
k141_6402	1599	48.41	6.26454
k141_6415	2370	55.65	10.6662
k141_6417	1782	54.32	5.60157
k141_6418	2439	51.29	4.67569
k141_6419	2435	54.70	6.03162
k141_6421	2819	52.68	7.88507
k141_6426	6171	60.25	6.96953
k141_6431	1907	50.92	5.39119
k141_6434	1160	58.88	3.21983
k141_6439	1356	62.02	5.43732
k141_6441	2233	61.98	7.39364
k141_6442	1113	48.25	6.93801
k141_6446	1620	55.80	4.61111
k141_6454	1972	60.14	8.75507
k141_6455	7424	64.61	7.14359
k141_6460	1908	50.94	4.06027
k141_6461	1976	48.28	4.67915
k141_6467	1719	34.85	4.4078
k141_6473	1789	58.08	6.23756
k141_6477	1096	38.59	2.84489
k141_6479	9423	57.75	6.55428
k141_6481	7151	65.18	7.43448
k141_6482	4887	53.18	8.07858
k141_6491	1679	62.60	4.85289
k141_6493	3697	62.40	6.60238
k141_6496	1867	56.99	5.26406
k141_6497	2174	52.35	7.73275
k141_6500	1270	58.90	3.9252
k141_6501	1130	54.51	3.68584
k141_6502	1227	56.15	5.35289
k141_6505	1007	50.45	5.00894
k141_6506	3223	49.86	5.30065
k141_6507	5207	58.50	6.04417
k141_6512	1176	53.57	6.19218
k141_6513	2536	51.22	8.88446
k141_6515	2387	51.19	4.5509
k141_6519	2159	50.63	4.27976
k141_6523	4969	60.07	17.6019
k141_6525	1668	56.18	6.98201
k141_6529	2126	43.37	5.39464
k141_6531	1095	49.22	3.12237
k141_6533	25091	64.90	6.99454
k141_6543	1339	64.82	5.89694
k141_6545	5470	44.26	38.2331
k141_6550	1268	24.53	3.75789
k141_6551	1295	56.60	3.68571
k141_6557	1061	66.92	4.21395
k141_6558	2234	40.06	5.21934
k141_6561	1126	46.54	4.63854
k141_6562	18332	33.08	13.0031
k141_6566	1310	62.82	6.46031
k141_6571	1557	50.93	3.42325
k141_6572	3972	58.64	5.30363
k141_6575	1430	59.51	3.02238
k141_6576	1318	44.76	4.39605
k141_6585	1035	50.53	5.78261
k141_6588	1044	65.23	3.81034
k141_6591	1447	25.78	4.02764
k141_6595	27007	45.64	39.3634
k141_6596	3296	60.10	7.17112
k141_6598	1424	45.08	4.89817
k141_6599	1613	55.61	6.80223
k141_6600	2587	56.13	4.31697
k141_6605	1281	60.11	3.82436
k141_6606	1554	54.44	5.80631
k141_6609	2947	55.21	6.26094
k141_6615	1667	55.19	5.07738
k141_6616	2106	44.02	6.99335
k141_6617	1183	32.04	5.4235
k141_6620	1315	59.47	6.10798
k141_6625	1057	60.83	3.67171
k141_6626	1691	47.01	5.19101
k141_6627	5313	63.54	6.35799
k141_6631	1517	50.69	4.57086
k141_6639	1168	49.06	7.64555
k141_6640	3377	51.58	5.95765
k141_6642	1075	38.88	6.90512
k141_6643	1920	59.95	7.29219
k141_6647	1474	47.08	4.82429
k141_6650	3910	62.28	5.30793
k141_6651	1195	55.15	4.48368
k141_6653	1117	47.72	5.41808
k141_6654	1702	62.10	5.96475
k141_6656	2265	57.40	4.60751
k141_6658	1294	46.45	3.80603
k141_6660	3895	49.76	7.33915
k141_6663	2285	57.20	4.29497
k141_6668	1046	54.02	2.10803
k141_6671	2734	52.63	3.6368
k141_6675	1146	70.68	2.47469
k141_6677	1516	57.26	4.91359
k141_6678	1512	44.05	3.94246
k141_6679	1301	42.74	4.12836
k141_6686	1213	49.63	5.90519
k141_6687	4502	60.08	5.07375
k141_6692	1213	55.56	8.52762
k141_6694	2579	51.22	4.39318
k141_6697	1254	56.22	4.60128
k141_6698	1144	48.25	2.73164
k141_6702	1252	44.89	308.609
k141_6704	7671	41.82	13.6897
k141_6707	2942	53.64	4.07546
k141_6711	1570	42.55	7.81783
k141_6712	2164	48.57	5.69871
k141_6719	1984	34.58	9.94808
k141_6729	15613	54.85	15.7109
k141_6730	1066	45.59	4.48593
k141_6734	1084	40.41	2.47232
k141_6738	1465	38.50	5.88805
k141_6739	6911	35.38	8.11576
k141_6750	3464	61.37	6.22604
k141_6751	1776	50.17	3.9482
k141_6753	1179	51.15	6.28923
k141_6757	1259	49.80	4.12867
k141_6761	1028	48.93	7.86089
k141_6762	1547	54.23	11.415
k141_6763	1242	58.94	6.20934
k141_6764	8022	32.93	8.23585
k141_6776	2402	54.79	5.27311
k141_6777	54781	50.99	40.1042
k141_6778	5752	61.49	6.31311
k141_6780	3132	59.39	5.41539
k141_6781	3645	41.62	7.65322
k141_6789	2021	53.09	5.15586
k141_6790	2038	58.88	5.47498
k141_6791	1013	64.66	3.68904
k141_6793	2170	60.09	3.98341
k141_6795	1856	60.13	4.01293
k141_6796	6967	53.34	16.658
k141_6800	1442	47.85	4.12136
k141_6807	1710	59.71	6.15906
k141_6809	1033	46.08	2.60213
k141_6810	1458	55.62	5.28875
k141_6813	1728	50.52	6.27546
k141_6817	2602	55.46	5.77556
k141_6818	8807	53.57	7.47247
k141_6822	3406	46.74	9.93776
k141_6831	1153	41.54	2.84649
k141_6834	3343	43.37	4.97547
k141_6836	1710	68.13	3.64152
k141_6837	1255	52.11	4.72351
k141_6841	1846	56.39	5.95666
k141_6846	2177	44.79	6.74828
k141_6849	2689	64.60	8.1309
k141_6850	1870	36.79	7.53957
k141_6853	1226	57.50	6.65905
k141_6855	3417	65.61	5.75329
k141_6857	2665	54.45	9.82214
k141_6859	1085	51.15	2.60461
k141_6863	2687	49.16	7.57052
k141_6865	1257	59.98	4.26571
k141_6866	1939	38.22	5.51625
k141_6869	3937	57.48	5.5936
k141_6870	6332	60.79	8.3337
k141_6872	2648	44.11	3.54947
k141_6881	1183	53.51	3.53508
k141_6885	2003	46.93	4.24363
k141_6886	1061	40.43	3.08577
k141_6891	2050	69.41	5.2561
k141_6899	1338	57.55	4.76831
k141_6901	1282	54.68	5.34087
k141_6902	1588	48.36	4.58942
k141_6904	1353	43.24	3.20473
k141_6905	6410	47.16	7.9649
k141_6906	121378	49.22	36.2718
k141_6908	1276	50.63	2.89655
k141_6912	1089	57.39	5.02204
k141_6914	1209	49.71	3.68734
k141_6915	4968	64.67	7.71558
k141_6917	2242	60.93	6.59545
k141_6920	6840	60.44	7.98012
k141_6921	1295	62.63	4.38224
k141_6922	1230	47.72	4.49675
k141_6925	1011	34.03	3.54204
k141_6930	11399	61.56	7.55944
k141_6931	1547	47.83	5.28507
k141_6933	1394	70.66	3.04017
k141_6934	5773	52.61	9.20163
k141_6938	2816	58.91	8.19744
k141_6939	1001	49.95	2.83516
k141_6940	1233	47.93	3.73317
k141_6941	9071	54.87	23.4717
k141_6944	1802	55.33	5.21476
k141_6945	2457	61.25	3.96825
k141_6953	1120	39.46	4.90536
k141_6956	1496	45.25	5.85094
k141_6957	2424	55.16	5.9146
k141_6959	7490	57.41	8.75581
k141_6961	1126	49.38	4.62167
k141_6965	2018	54.71	4.05946
k141_6975	2902	58.13	6.21123
k141_6976	1174	51.53	4.80835
k141_6978	1288	58.15	3.68789
k141_6981	1672	45.69	4.72249
k141_6986	1773	51.44	6.5956
k141_6987	2166	50.55	3.36981
k141_6990	2817	39.58	3.91835
k141_6993	3446	54.47	8.54643
k141_6995	3060	38.79	5.03497
k141_6998	3564	55.86	5.73569
k141_6999	1420	61.90	4.17465
k141_7002	1315	54.83	3.95285
k141_7007	5132	48.69	7.02182
k141_7009	5421	61.19	6.7316
k141_7015	1133	40.16	3.93645
k141_7016	2805	63.81	5.34688
k141_7023	1903	43.14	9.12612
k141_7025	1632	48.65	4.81801
k141_7031	1852	56.16	7.2554
k141_7033	3244	41.43	4.81381
k141_7042	1771	48.33	4.70469
k141_7044	8234	64.76	7.60845
k141_7051	11971	55.91	6.53312
k141_7052	1092	56.96	2.7207
k141_7053	1098	65.94	5.81785
k141_7054	1706	42.50	5.0551
k141_7055	2204	60.75	6.2314
k141_7057	5705	38.72	5.09606
k141_7059	1188	57.74	2.38973
k141_7060	2136	42.56	10.9663
k141_7063	1950	44.92	4.52308
k141_7067	1305	42.22	2.63448
k141_7072	1568	33.04	4.22066
k141_7083	3908	54.66	5.70829
k141_7085	1341	46.61	5.85309
k141_7087	3149	55.67	6.41092
k141_7088	1003	40.08	4.45663
k141_7089	1290	41.71	3.91705
k141_7094	1071	60.04	5.81139
k141_7095	1609	57.18	4.25357
k141_7096	1273	61.59	5.39042
k141_7097	3188	55.68	5.55489
k141_7106	2796	38.63	4.42132
k141_7107	1343	59.87	4.45421
k141_7108	3584	54.05	5.72266
k141_7123	7519	63.59	6.49089
k141_7126	1282	55.15	6.23713
k141_7129	1436	51.46	6.13579
k141_7136	1912	54.92	5.13651
k141_7144	2880	62.33	6.46875
k141_7149	4043	57.01	19.5817
k141_7153	1467	45.94	4.36605
k141_7154	1012	50.40	4.13538
k141_7164	1988	62.27	4.35111
k141_7171	4372	47.26	4.4538
k141_7175	1467	53.92	5.34697
k141_7176	1459	42.43	4.08499
k141_7177	1925	55.06	4.72571
k141_7178	1373	45.30	3.56373
k141_7182	1071	47.25	3.90943
k141_7183	5551	44.05	6.86705
k141_7188	1642	51.71	4.53776
k141_7190	4889	55.92	6.6169
k141_7194	5099	39.56	5.99059
k141_7195	4533	54.60	39.6953
k141_7199	1483	57.86	6.30546
k141_7201	5678	59.74	6.78795
k141_7202	1513	58.89	4.14144
k141_7203	4169	40.97	5.15687
k141_7209	1662	56.20	4.8201
k141_7211	2540	39.76	7.98701
k141_7213	5555	57.86	6.39136
k141_7215	1027	49.17	5.35248
k141_7216	1731	62.85	5.73657
k141_7218	2664	44.74	5.30105
k141_7219	1259	50.68	4.33836
k141_7222	4239	62.99	7.17292
k141_7231	1441	61.83	5.17071
k141_7233	1863	50.94	4.39184
k141_7235	1346	56.24	4.20431
k141_7237	6079	38.44	6.40336
k141_7243	2156	47.40	4.33766
k141_7247	1694	51.89	9.22727
k141_7248	1821	45.91	4.73037
k141_7254	5438	63.70	9.11254
k141_7258	1744	46.27	4.36984
k141_7262	1019	43.96	5.36899
k141_7265	1572	46.69	5.40712
k141_7274	7872	37.40	5.5423
k141_7275	1638	46.15	3.54212
k141_7278	1290	49.84	2.77829
k141_7280	1839	48.72	6.08809
k141_7284	1066	52.81	3.08161
k141_7286	2282	34.97	4.93208
k141_7287	3114	51.57	5.16763
k141_7293	4449	42.17	9.64689
k141_7296	2130	46.15	5.29296
k141_7300	1620	63.83	4.05309
k141_7301	1260	56.11	3.75159
k141_7306	55916	54.10	24.0681
k141_7307	1714	57.70	5.3874
k141_7309	4928	47.32	5.72362
k141_7311	1362	54.04	3.72394
k141_7314	1320	46.36	3.05379
k141_7316	1445	49.41	4.63806
k141_7319	1209	63.28	3.69727
k141_7324	1897	45.65	4.09858
k141_7328	2633	56.10	4.75503
k141_7332	3548	52.79	6.25113
k141_7333	1847	46.72	5.07201
k141_7336	1198	32.05	3.74207
k141_7338	1048	40.74	2.71088
k141_7345	2120	40.47	3.6533
k141_7346	1054	38.05	3.5408
k141_7347	5272	56.34	6.40725
k141_7348	1552	43.36	3.6643
k141_7350	3406	56.55	5.93247
k141_7354	4582	56.70	6.33479
k141_7356	1037	60.66	4.47252
k141_7360	1044	42.24	4.98755
k141_7363	1650	43.39	5.79515
k141_7370	1542	43.39	5.41894
k141_7371	3547	39.19	5.76036
k141_7372	2251	61.22	5.70102
k141_7373	18123	57.89	9.72747
k141_7380	1316	48.94	6.01748
k141_7382	23371	62.35	7.05802
k141_7384	2078	57.22	7.57603
k141_7386	2684	55.07	5.86923
k141_7387	5029	42.35	5.53987
k141_7389	1199	68.56	4.95663
k141_7390	1261	53.13	4.36796
k141_7392	1445	58.06	4.31834
k141_7394	3785	57.83	5.66579
k141_7397	1171	46.20	3.77797
k141_7399	1691	61.62	5.01124
k141_7401	2490	57.15	5.48635
k141_7405	1010	58.22	5.17624
k141_7406	1521	56.74	4.10651
k141_7409	1089	42.33	6.70615
k141_7414	2330	59.87	5.40773
k141_7417	3106	35.90	6.34449
k141_7418	1353	47.15	6.60902
k141_7422	2983	36.31	4.86155
k141_7425	1019	34.45	4.09127
k141_7426	1056	44.79	3.9678
k141_7427	1068	40.73	5.74157
k141_7428	2896	43.06	6.64814
k141_7435	2511	38.39	5.93668
k141_7437	1118	61.99	3.59928
k141_7439	1035	42.22	4.71594
k141_7441	1094	59.96	4.08867
k141_7444	1493	44.74	5.07703
k141_7445	3067	40.50	5.87936
k141_7449	1423	62.26	4.57414
k141_7450	5048	53.88	8.21018
k141_7452	1724	62.82	6.47274
k141_7453	1115	60.18	5.47803
k141_7461	3334	61.85	6.25165
k141_7465	2992	33.56	4.43516
k141_7466	3866	53.70	7.43611
k141_7470	1131	50.84	4.75155
k141_7471	1902	55.68	6.74027
k141_7475	1011	51.83	4.091
k141_7481	2631	55.30	6.77005
k141_7482	1070	49.07	4.33364
k141_7483	1875	43.89	5.91947
k141_7487	1801	52.47	3.794
k141_7488	1123	47.46	4.23598
k141_7492	4240	55.94	6.31462
k141_7497	6162	63.31	6.4471
k141_7500	6726	57.58	8.19016
k141_7501	3323	38.22	6.77249
k141_7505	2413	36.26	8.88313
k141_7506	1012	41.70	3.53162
k141_7509	1395	31.25	4.05806
k141_7511	1428	58.54	6.17297
k141_7512	1386	44.81	4.19336
k141_7513	3261	56.09	5.01441
k141_7516	1074	56.33	2.91806
k141_7517	1121	60.57	2.2694
k141_7519	1904	54.36	7.85872
k141_7520	3054	57.73	12.1614
k141_7521	1271	62.16	3.14241
k141_7525	1586	52.90	3.83796
k141_7527	1065	46.76	5.00376
k141_7530	1253	39.43	5.33839
k141_7531	2912	53.40	6.39904
k141_7532	5342	37.21	6.93804
k141_7538	1137	54.00	6.03518
k141_7541	27685	54.96	14.2968
k141_7545	5998	60.44	7.14872
k141_7552	1089	47.66	3.28191
k141_7554	5018	63.15	7.29713
k141_7559	2506	43.81	6.05666
k141_7560	15531	54.07	9.19091
k141_7561	1105	50.95	3.37919
k141_7562	1317	42.67	5.03645
k141_7563	4608	64.65	5.88628
k141_7566	1077	48.93	3.31383
k141_7569	2825	53.03	6.32814
k141_7575	1538	55.79	5.90247
k141_7576	174930	56.42	43.1197
k141_7581	1312	53.28	7.25381
k141_7582	1781	50.81	7.94217
k141_7584	1470	65.10	4.26327
k141_7591	1703	43.04	5.68878
k141_7593	1187	55.52	5.01011
k141_7595	1396	43.91	5.35458
k141_7597	1116	63.44	4.92384
k141_7599	2249	57.67	4.15118
k141_7607	7665	41.36	6.52538
k141_7609	1534	42.83	4.76271
k141_7613	2220	52.66	4.37162
k141_7619	2211	59.02	7.0796
k141_7621	1256	58.36	5.30812
k141_7624	1382	72.00	2.68017
k141_7626	2311	26.57	3.54955
k141_7632	4017	52.68	6.96814
k141_7637	1520	38.36	3.80987
k141_7639	1296	55.17	4.6875
k141_7641	2537	54.99	3.52661
k141_7643	5450	43.76	4.72587
k141_7644	4534	60.01	8.04191
k141_7645	1508	58.69	3.66313
k141_7646	1256	23.49	2.73646
k141_7648	3510	42.31	6.35214
k141_7653	1934	55.38	4.75388
k141_7654	3216	53.33	8.14801
k141_7656	1317	50.42	3.95368
k141_7657	1491	57.28	5.50973
k141_7659	2831	46.10	4.42706
k141_7661	1150	52.61	3.97217
k141_7663	1485	64.38	4.80943
k141_7665	1574	55.34	5.94981
k141_7672	1176	47.96	7.22619
k141_7673	2878	41.70	4.04378
k141_7677	1013	48.47	4.86575
k141_7680	2950	54.07	4.23966
k141_7681	1095	52.15	3.94247
k141_7682	1009	64.72	4.8781
k141_7683	3463	59.08	8.04505
k141_7685	1557	47.33	4.40077
k141_7690	1161	46.68	5.00775
k141_7694	3414	57.44	4.4546
k141_7697	1882	49.47	4.76089
k141_7698	1089	60.42	3.68044
k141_7705	1334	60.64	3.8958
k141_7715	2934	39.20	5.19291
k141_7716	2259	48.38	4.55201
k141_7718	1976	54.35	4.26872
k141_7719	1544	40.74	3.62824
k141_7724	4595	56.52	9.86529
k141_7726	2108	51.19	5.71442
k141_7727	4634	62.08	6.05503
k141_7728	1316	51.52	4.9886
k141_7731	1713	61.12	7.30648
k141_7736	1109	59.24	6.71416
k141_7745	1087	54.83	6.45446
k141_7747	3622	60.41	5.13666
k141_7748	1141	52.67	3.14286
k141_7750	2047	49.39	4.80752
k141_7752	1304	61.04	3.74387
k141_7754	1761	59.57	4.91596
k141_7763	1356	44.91	3.74336
k141_7768	1245	54.86	5.70924
k141_7771	1146	57.24	3.3822
k141_7782	1146	48.69	3.77749
k141_7792	1247	73.38	3.98236
k141_7794	6126	65.85	8.44744
k141_7795	1723	44.05	3.62914
k141_7797	4167	60.86	5.7833
k141_7801	1967	59.99	6.212
k141_7802	1274	42.78	3.28493
k141_7804	1166	42.97	3.57118
k141_7809	2987	56.85	5.96384
k141_7818	1249	20.34	2.99359
k141_7828	1650	55.15	4.87576
k141_7829	4987	55.81	14.9701
k141_7832	1969	62.93	4.84256
k141_7838	1127	44.54	4.59095
k141_7847	1042	60.08	3.28407
k141_7848	8013	51.77	8.46811
k141_7851	1554	20.27	3.07529
k141_7853	6487	52.75	5.577
k141_7856	1082	43.25	4.53789
k141_7858	2073	54.32	4.36903
k141_7864	2333	55.04	4.78611
k141_7865	1096	74.36	4.17518
k141_7868	1225	55.76	6.31429
k141_7874	1248	67.39	5.58333
k141_7881	1125	46.49	3.18133
k141_7884	2968	63.17	6.16543
k141_7885	4725	60.61	6.75725
k141_7889	3756	56.66	8.73482
k141_7890	46053	32.82	13.4981
k141_7891	1993	66.03	7.98445
k141_7901	1338	70.48	8.60389
k141_7906	10396	43.70	6.74356
k141_7914	2657	56.45	5.6703
k141_7917	2030	44.73	7.49261
k141_7927	1053	40.93	4.94587
k141_7930	1376	63.95	3.88154
k141_7936	1154	24.18	4.11612
k141_7938	1350	45.26	13.1526
k141_7940	1409	42.73	4.12349
k141_7942	1244	45.50	5.1045
k141_7944	2387	52.28	4.57227
k141_7946	2616	58.64	4.55887
k141_7951	3810	56.04	5.76325
k141_7955	1167	43.36	3.68723
k141_7963	1018	51.57	8.30648
k141_7964	1139	34.15	3.61106
k141_7965	1106	54.70	2.28029
k141_7967	1253	43.10	3.56824
k141_7971	2226	57.37	4.54762
k141_7973	5603	58.86	6.34749
k141_7978	1551	52.48	4.32689
k141_7979	1066	35.65	4.42871
k141_7985	5898	29.32	10.9156
k141_7989	1538	59.10	5.31274
k141_7990	1102	44.83	2.84211
k141_7998	4667	52.97	7.74459
k141_8003	1224	47.71	3.77941
k141_8006	3330	62.76	5.81171
k141_8010	1108	53.34	6.33394
k141_8013	9850	51.11	12.2339
k141_8015	1618	50.87	6.72188
k141_8018	1240	51.85	5.1621
k141_8024	1319	48.07	10.7316
k141_8028	4034	58.53	5.02603
k141_8030	2763	56.93	15.6051
k141_8031	1647	30.97	5.81117
k141_8033	6114	64.07	5.91266
k141_8039	1294	55.10	29.6716
k141_8044	13186	45.76	40.8807
k141_8047	1055	63.98	3.52512
k141_8048	4980	56.14	5.2996
k141_8049	1107	41.19	2.96567
k141_8050	1969	35.40	6.10462
k141_8054	1005	42.49	5.64179
k141_8061	1177	40.70	3.02974
k141_8066	3594	61.74	6.21508
k141_8069	1286	53.03	3.82893
k141_8072	1031	50.82	44.226
k141_8074	1844	53.15	4.1898
k141_8075	1045	40.86	4.86794
k141_8086	3312	61.68	5.20864
k141_8088	1250	21.68	3.5872
k141_8089	2047	51.64	4.22716
k141_8091	1408	61.36	7.07173
k141_8093	2575	60.00	6.56932
k141_8095	3169	35.15	4.57873
k141_8096	1470	41.43	4.54762
k141_8101	1166	59.95	5.07461
k141_8104	2726	68.60	7.27183
k141_8109	1540	46.62	6.20909
k141_8111	4755	60.00	14.8189
k141_8112	1121	53.52	3.32649
k141_8113	1099	61.69	4.19836
k141_8116	14885	60.75	17.9394
k141_8125	1031	64.21	8.25218
k141_8127	3683	38.18	6.81021
k141_8129	2135	36.49	5.43653
k141_8134	1165	57.85	6.65408
k141_8136	3832	53.84	9.07359
k141_8137	1692	66.78	5.71986
k141_8141	1682	45.66	4.51249
k141_8146	1076	46.93	5.97398
k141_8149	1091	64.62	4.64161
k141_8153	1610	61.43	4.99503
k141_8162	4462	46.15	6.00941
k141_8164	2907	45.99	7.69143
k141_8165	5749	56.57	6.29901
k141_8171	2460	41.71	4.2561
k141_8172	1202	41.68	4.92928
k141_8173	3631	53.57	5.96199
k141_8176	12764	62.25	15.009
k141_8181	2849	59.74	5.28712
k141_8189	4399	54.92	5.25665
k141_8196	3207	60.24	5.48145
k141_8204	2045	45.53	4.20196
k141_8207	1098	36.98	5.99271
k141_8209	1415	50.46	4.00777
k141_8211	2106	74.93	7.38129
k141_8215	1314	53.81	5.29528
k141_8217	1308	56.57	22.487
k141_8218	1129	64.84	3.81045
k141_8219	3366	40.34	8.40582
k141_8221	1020	56.57	3.34804
k141_8226	1339	70.65	3.7879
k141_8229	2156	40.40	4.56076
k141_8230	2564	48.09	6.22621
k141_8232	1943	45.19	4.81832
k141_8233	1425	56.91	7.96211
k141_8237	2959	60.56	7.52957
k141_8239	4438	49.55	5.90784
k141_8244	1557	49.90	5.21387
k141_8250	1491	53.86	4.9108
k141_8256	1560	46.41	5.14423
k141_8262	1594	48.12	4.20075
k141_8264	1152	24.57	3.21354
k141_8265	1096	46.08	5.01186
k141_8269	1466	47.34	7.22783
k141_8270	2085	38.03	3.64892
k141_8272	5166	57.78	7.76771
k141_8279	1229	22.05	3.51749
k141_8285	1277	50.59	3.50587
k141_8288	1471	48.54	5.27464
k141_8289	1553	63.49	4.10689
k141_8294	3210	60.72	4.80031
k141_8296	1213	45.42	5.15993
k141_8298	18244	41.62	22.8048
k141_8302	6542	55.01	5.89025
k141_8304	2033	52.93	6.82489
k141_8310	3165	61.26	5.60284
k141_8312	2285	59.96	5.73611
k141_8315	1926	37.64	5.77882
k141_8318	1123	69.72	3.28317
k141_8328	4006	55.99	18.5826
k141_8334	1108	52.44	4.70487
k141_8335	1012	58.20	4.72134
k141_8339	1122	59.98	5.3057
k141_8340	2197	55.39	9.46563
k141_8345	2093	21.07	3.17869
k141_8352	2351	62.65	5.23522
k141_8353	4034	50.12	5.52107
k141_8366	1169	57.40	4.35073
k141_8368	1331	48.61	3.58377
k141_8379	1157	40.80	5.13742
k141_8382	1606	58.47	4.45953
k141_8385	1323	44.44	5.7483
k141_8391	1089	51.42	2.72635
k141_8394	13409	34.42	14.5502
k141_8395	1011	47.08	2.78932
k141_8399	1083	49.31	4.12558
k141_8400	8181	61.17	16.9212
k141_8402	1466	57.09	3.66712
k141_8405	1559	49.45	4.29763
k141_8408	1670	43.77	24.7186
k141_8409	1181	53.85	4.92125
k141_8411	15546	54.57	39.3948
k141_8416	2282	48.86	4.49562
k141_8420	2664	60.47	9.35248
k141_8421	2225	47.24	5.86831
k141_8422	2439	47.03	4.754
k141_8423	1745	59.48	6.38797
k141_8424	1320	48.11	2.93712
k141_8425	1348	45.92	2.77077
k141_8426	6361	51.66	8.10564
k141_8427	5473	40.95	5.53864
k141_8428	5625	46.17	9.07342
k141_8432	1395	52.62	4.24158
k141_8435	1007	59.98	6.0149
k141_8438	1406	44.38	3.17283
k141_8439	1012	50.20	5.52273
k141_8445	1134	55.11	2.97354
k141_8450	3973	39.19	5.22577
k141_8451	1083	54.85	7.9409
k141_8452	2696	53.38	5.19214
k141_8453	1131	37.75	3.8267
k141_8454	1507	46.72	7.80889
k141_8457	4398	58.94	5.63961
k141_8458	2205	65.12	6.20454
k141_8460	2035	57.64	4.03686
k141_8462	2425	55.63	31.3534
k141_8465	4476	61.46	6.62221
k141_8466	1073	52.38	7.46878
k141_8477	1513	51.62	3.92003
k141_8483	1125	59.11	5.18044
k141_8486	8075	59.48	17.7941
k141_8487	11327	41.56	6.61305
k141_8489	1527	60.64	4.00065
k141_8491	1166	54.03	2.80617
k141_8495	1737	52.50	3.60794
k141_8497	1403	44.40	6.8047
k141_8498	1578	59.89	4.36248
k141_8500	1115	49.06	4.66996
k141_8501	1417	39.52	5.98377
k141_8503	1055	59.81	5.76872
k141_8505	1292	59.83	4.94195
k141_8509	5690	66.36	7.42882
k141_8512	2108	66.94	4.49526
k141_8517	1643	43.64	4.8947
k141_8519	3170	59.62	5.76151
k141_8522	1130	29.12	3.54336
k141_8526	1075	56.19	3.8093
k141_8528	4142	36.72	6.12071
k141_8529	2642	49.02	6.23354
k141_8530	6350	65.29	6.7715
k141_8531	1733	49.86	4.76168
k141_8533	1121	52.01	3.33274
k141_8534	1042	59.60	4.58253
k141_8535	7599	56.70	7.91591
k141_8545	2263	52.19	43.5289
k141_8546	1716	35.49	7.2028
k141_8547	3002	46.17	5.31446
k141_8549	1258	30.29	3.5151
k141_8554	1145	25.07	3.26725
k141_8559	1109	51.58	3.64202
k141_8561	7272	62.98	7.9692
k141_8562	3094	60.54	9.76309
k141_8563	2887	45.79	4.61586
k141_8564	1073	38.49	3.59553
k141_8565	1607	56.63	6.94337
k141_8566	1142	48.25	4.75919
k141_8571	2123	41.17	7.14131
k141_8574	1461	54.89	6.5989
k141_8579	2823	55.22	12.5654
k141_8580	4627	39.98	7.90426
k141_8585	3690	50.43	11.3331
k141_8587	1567	54.95	5.51627
k141_8589	6461	46.62	7.97477
k141_8590	1354	24.37	4.17061
k141_8594	1724	53.31	8.2906
k141_8597	2048	39.40	3.20557
k141_8598	1565	23.83	3.15335
k141_8599	8032	63.41	7.32445
k141_8601	1582	36.28	4.63021
k141_8604	1373	58.70	4.74436
k141_8605	1284	56.00	3.9229
k141_8606	1756	51.31	5.35649
k141_8607	4219	56.89	7.92629
